condition,Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
reasoning,68f4710b34485588daa2cd00,66a2812744e8026f80ef0879,approved,Not Applicable,2025-10-19T05:03:07.330000Z,2025-10-19T06:00:43.297000Z,2025-11-01T21:46:06.742000Z,2025-10-19T06:00:43.795401Z,3456.0,CIFH4XG1,4138,English,54,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
reasoning,68f473ac0ef61d69dec91929,66ede43c37f73f556e9cdf22,approved,Not Applicable,2025-10-19T05:14:25.237000Z,2025-10-19T05:46:12.936000Z,2025-11-01T21:46:05.166000Z,2025-10-19T05:46:13.333711Z,1908.0,CIFH4XG1,265,English,25,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
reasoning,68f47c45abfe99efcd25b6e0,628f9cfbee6de7cc7322fecf,approved,Not Applicable,2025-10-19T05:51:41.030000Z,2025-10-19T06:34:57.809000Z,2025-11-01T21:46:08.516000Z,2025-10-19T06:34:59.793682Z,2597.0,CIFH4XG1,9169,English,31,Male,Other,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
reasoning,690680369a94f0b4822cb85f,66fdd6ecd96e23c98cf47a4a,approved,Not Applicable,2025-11-01T21:49:03.817000Z,2025-11-01T22:37:07.898000Z,2025-11-04T02:45:17.912000Z,2025-11-01T22:37:08.360079Z,2885.0,CIFH4XG1,1151,English,37,Female,White,United States,United States,United States,English,No,Full-Time
reasoning,6906808b07049d2d50c567a3,5e4b793f03c92a08a6d28e3f,approved,Not Applicable,2025-11-01T21:50:09.045000Z,2025-11-01T22:39:46.689000Z,2025-11-04T02:45:19.628000Z,2025-11-01T22:39:47.071667Z,2978.0,CIFH4XG1,2702,English,26,Male,Asian,United States,United States,United States,English,No,Part-Time
reasoning,6906813a3cc1fd3b65a2024d,66e4c4358de330a06b4d33f1,approved,Not Applicable,2025-11-01T21:53:02.350000Z,2025-11-01T22:30:04.563000Z,2025-11-04T02:45:20.740000Z,2025-11-01T22:30:04.949260Z,2223.0,CIFH4XG1,1885,English,80,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
reasoning,6906816275d1d6da4f45dada,583b397f54686200010f1d20,approved,Not Applicable,2025-11-01T21:53:41.177000Z,2025-11-01T22:56:23.454000Z,2025-11-04T02:45:21.680000Z,2025-11-01T22:56:23.997767Z,3763.0,CIFH4XG1,15626,English,53,Female,Black,United States,United States,United States,English,No,Full-Time
reasoning,690682715d8f06ee4f378d14,582474a8aac01b0001e45ef9,approved,Not Applicable,2025-11-01T21:58:14.219000Z,2025-11-01T22:47:07.036000Z,2025-11-04T02:45:22.556000Z,2025-11-01T22:47:07.400043Z,2933.0,CIFH4XG1,3155,English,47,Male,White,United States,United States,United States,English,No,Full-Time
reasoning,69068290f1c34ac46fe0730b,65bfa2967c731d263eb29732,approved,Not Applicable,2025-11-01T21:58:51.277000Z,2025-11-01T22:33:24.796000Z,2025-11-04T02:45:23.437000Z,2025-11-01T22:33:25.181621Z,2074.0,CIFH4XG1,2068,English,29,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
reasoning,6906842e1bd6ac0ecbb6bc5d,67d8a842726644308266e91f,approved,Not Applicable,2025-11-01T22:05:49.267000Z,2025-11-01T22:30:59.895000Z,2025-11-04T02:45:24.212000Z,2025-11-01T22:31:00.301747Z,1511.0,CIFH4XG1,1326,English,72,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
reasoning,690684527182360e90d4f096,67edb75b0744561f1cf6ff9d,approved,Not Applicable,2025-11-01T22:06:10.986000Z,2025-11-01T22:26:14.381000Z,2025-11-04T02:45:24.920000Z,2025-11-01T22:26:14.815181Z,1204.0,CIFH4XG1,2537,English,51,Female,White,United States,United States,Italy,English,No,Part-Time
reasoning,6906845d5417e26184a65272,67e5ebfad8af26b1bb60e460,approved,Not Applicable,2025-11-01T22:06:21.672000Z,2025-11-01T22:27:13.221000Z,2025-11-04T02:45:25.543000Z,2025-11-01T22:27:13.619450Z,1252.0,CIFH4XG1,816,English,75,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
reasoning,69068472680c1f2780d379c4,65e4124826438fd6dc97bd7e,approved,Not Applicable,2025-11-01T22:06:54.868000Z,2025-11-01T22:29:29.918000Z,2025-11-04T02:45:27.642000Z,2025-11-01T22:29:30.354814Z,1356.0,CIFH4XG1,2044,English,28,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
reasoning,6909694066caffcc12274c08,63474e67a5fd298c6103c409,approved,Not Applicable,2025-11-04T02:47:33.146000Z,2025-11-04T03:54:15.863000Z,2025-11-08T05:02:24.245000Z,2025-11-04T03:54:16.267626Z,4003.0,CIFH4XG1,5465,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
reasoning,69096947215d37eb3d73e20c,607778a26ff3de83125f50c5,approved,Not Applicable,2025-11-04T02:47:38.554000Z,2025-11-04T03:13:45.637000Z,2025-11-04T03:16:08.366000Z,2025-11-04T03:13:46.391113Z,1568.0,CIFH4XG1,6176,English,39,Male,Asian,India,United States,United States,English,No,Part-Time
reasoning,69096979482635c595d6ea66,5ae12548dee8590001b08925,approved,Not Applicable,2025-11-04T02:48:30.449000Z,2025-11-04T03:13:53.505000Z,2025-11-04T03:16:09.912000Z,2025-11-04T03:13:53.866440Z,1524.0,CIFH4XG1,1001,English,50,Female,Black,United States,United States,United States,English,No,Due to start a new job within the next month
reasoning,690969b054b4829b9d67049b,61686f8376bd6ff59ea15479,approved,Not Applicable,2025-11-04T02:49:27.548000Z,2025-11-04T03:22:06.517000Z,2025-11-08T05:02:26.979000Z,2025-11-04T03:22:06.909983Z,1959.0,CIFH4XG1,7348,English,41,Male,Asian,Korea,United States,United States,English,No,Full-Time
reasoning,690969c2632f1607a1b9bf5e,663140c398e19ff9b77d4663,approved,Not Applicable,2025-11-04T02:49:41.517000Z,2025-11-04T03:17:32.294000Z,2025-11-08T05:02:40.816000Z,2025-11-04T03:17:32.681872Z,1671.0,CIFH4XG1,4928,English,34,Female,Asian,United States,United States,United States,English,No,Full-Time
reasoning,690969c46d8ab6c943b53a09,5ac5260dfa3b4e0001736dd3,approved,Not Applicable,2025-11-04T02:49:57.209000Z,2025-11-04T03:21:37.118000Z,2025-11-08T05:02:42.398000Z,2025-11-04T03:21:37.497254Z,1900.0,CIFH4XG1,2760,English,31,Male,White,United States,United States,Mexico,English,DATA_EXPIRED,DATA_EXPIRED
reasoning,690969d926b72a2bf3cab441,5dde8fba82f458000c8c7c75,approved,Not Applicable,2025-11-04T02:50:01.747000Z,2025-11-04T03:41:46.678000Z,2025-11-08T05:02:43.999000Z,2025-11-04T03:41:47.055225Z,3105.0,CIFH4XG1,9334,English,44,Male,White,United States,United States,United States,English,No,Full-Time
reasoning,690969dc25435be9f6dc8740,5e46aa20caec81000b7d4f93,approved,Not Applicable,2025-11-04T02:54:41.449000Z,2025-11-04T03:25:18.698000Z,2025-11-14T21:20:13.136000Z,2025-11-04T03:25:19.111859Z,1838.0,CIFH4XG1,10092,English,49,Male,White,United States,United States,United States,English,No,Full-Time
reasoning,690969f817b61445e321158d,66a8f82143da40a6b126975e,approved,Not Applicable,2025-11-04T02:50:43.036000Z,2025-11-04T03:53:15.200000Z,2025-11-08T05:02:45.237000Z,2025-11-04T03:53:15.606310Z,3753.0,CIFH4XG1,5251,English,48,Male,Asian,China,United States,United States,Chinese,No,Full-Time
reasoning,69096a3856aff1248c12a439,66463e4efb99fba5a67a010a,approved,Not Applicable,2025-11-04T02:51:38.661000Z,2025-11-04T03:12:43.340000Z,2025-11-04T03:16:10.707000Z,2025-11-04T03:12:43.778410Z,1265.0,CIFH4XG1,4274,English,31,Male,Black,United States,United States,United States,English,No,Full-Time
reasoning,69096a3b9aa2b4a4b1f8688a,652e2bd923d23c34ce1e7734,approved,Not Applicable,2025-11-04T02:52:27.552000Z,2025-11-04T03:28:41.393000Z,2025-11-08T05:02:50.241000Z,2025-11-04T03:28:41.795972Z,2174.0,CIFH4XG1,1861,English,40,Female,White,United States,United States,United States,English,No,Full-Time
reasoning,69096a4b12987684e415904b,62c9ed717a2882d689eb27c1,approved,Not Applicable,2025-11-04T02:51:58.227000Z,2025-11-04T03:22:32.933000Z,2025-11-08T05:02:48.851000Z,2025-11-04T03:22:33.289210Z,1835.0,CIFH4XG1,2361,English,38,Female,White,Azerbaijan,United States,United States,Russian,No,Full-Time
reasoning,69096ab8b655afc90cc217c9,58c1ce3c3783090001b49355,approved,Not Applicable,2025-11-04T02:53:49.052000Z,2025-11-04T03:25:24.042000Z,2025-11-08T05:02:51.985000Z,2025-11-04T03:25:24.417135Z,1895.0,CIFH4XG1,11649,English,47,Female,White,United States,United States,United States,English,No,Full-Time
reasoning,69096abbfd0af85e897efd64,5ed91d3f31d9c60a8ac27018,approved,Not Applicable,2025-11-04T02:53:51.206000Z,2025-11-04T03:08:58.914000Z,2025-11-04T03:16:15.839000Z,2025-11-04T03:08:59.306103Z,908.0,CIFH4XG1,1257,English,28,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
